time_AKDT	DHT11_T	DHT11_T	P36_T	SHT31_T	SHT31_H
20181209_053808	21	15	23.09	21.66	20.47
20181209_053818	22	16	23.25	21.72	20.87
20181209_053829	22	16	23.41	21.73	20.04
20181209_053839	22	15	22.85	21.76	19.97
20181209_053849	22	15	23.33	21.74	19.57
20181209_053900	22	15	23.41	21.77	19.58
20181209_053910	22	15	23.58	21.79	19.71
20181209_053920	22	14	23.17	21.81	19.70
20181209_053931	22	14	23.41	21.80	19.80
20181209_053941	22	14	24.95	21.84	19.59
20181209_053951	22	14	23.17	21.86	19.75
20181209_054001	22	14	23.17	21.86	19.95
20181209_054012	22	14	23.49	21.86	20.29
20181209_054022	22	14	22.93	21.89	21.08
20181209_054032	22	14	23.49	21.87	20.91
20181209_054043	22	14	22.93	21.89	20.00
20181209_054053	22	15	23.58	21.89	19.44
20181209_054103	22	14	22.85	21.90	19.48
20181209_054114	22	14	22.93	21.92	19.85
20181209_054124	22	14	22.93	21.87	20.13
20181209_054134	22	14	23.41	21.86	21.01
20181209_054145	22	14	23.17	21.86	20.47
20181209_054155	22	14	23.66	21.84	21.09
20181209_054205	22	14	23.58	21.83	20.99
20181209_054216	22	14	23.41	21.79	21.12
20181209_054226	22	14	23.17	21.77	21.63
20181209_054236	22	14	23.41	21.76	21.26
20181209_054247	22	14	23.17	21.73	21.64
20181209_054257	22	14	22.61	21.72	21.75
20181209_054307	22	14	22.93	21.69	20.67
20181209_054328	22	14	21.88	21.65	21.14
20181209_054338	22	14	23.41	21.65	21.40
20181209_054349	22	14	22.69	21.62	20.85
20181209_054359	22	15	23.82	21.61	21.22
20181209_054409	22	15	23.82	21.58	21.15
20181209_054420	22	14	24.78	21.56	21.66
20181209_054430	22	14	23.25	21.52	21.49
20181209_054440	22	14	23.49	21.51	21.36
20181209_054451	22	14	22.85	21.49	21.33
20181209_054501	21	13	23.09	21.45	21.55
20181209_054511	21	13	22.61	21.45	21.42
20181209_054521	21	13	24.22	21.40	21.26
20181209_054532	21	13	23.17	21.40	21.36
20181209_054542	21	13	22.77	21.35	21.63
20181209_054552	21	14	23.33	21.37	21.60
20181209_054603	21	14	23.25	21.33	21.14
20181209_054613	21	14	22.77	21.30	21.53
20181209_054623	21	14	22.93	21.30	21.58
20181209_054634	21	14	23.49	21.30	21.38
20181209_054644	21	14	22.29	21.27	21.35
20181209_054654	21	14	23.58	21.25	21.20
20181209_054705	21	14	22.93	21.21	20.43
20181209_054715	21	14	23.01	21.18	20.96
20181209_054725	21	14	23.33	21.17	21.60
20181209_054736	21	14	23.17	21.14	20.95
20181209_054746	21	14	22.85	21.14	21.37
20181209_054756	21	14	23.01	21.13	21.01
20181209_054807	21	14	23.17	21.11	20.98
20181209_054817	21	14	23.17	21.10	21.04
20181209_054827	21	14	23.17	21.07	21.07
20181209_054838	21	14	22.85	21.04	21.15
20181209_054848	21	14	22.61	21.03	21.21
20181209_054858	21	14	23.82	21.01	21.07
20181209_054909	21	14	23.17	20.99	21.15
20181209_054919	21	14	22.93	20.96	20.85
20181209_054929	21	15	22.77	20.94	21.26
